condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.512,0.512,0.192,0.19672131147540983,0.1875,0.0,24,104,24,98
lead_90_180,0.554,249,0.5421686746987951,0.5060240963855421,0.3493975903614458,0.34210526315789475,0.35555555555555557,0.03614457831325302,39,87,48,75
lead_30_90,0.622,248,0.6008064516129032,0.5685483870967742,0.25806451612903225,0.2828282828282828,0.24161073825503357,0.032258064516129004,28,113,36,71
no_prev_cancel,0.661,250,0.632,0.64,0.08,0.11956521739130435,0.056962025316455694,-0.008000000000000007,11,149,9,81
no_deposit,0.716,247,0.7125506072874493,0.680161943319838,0.20242914979757085,0.29577464788732394,0.16477272727272727,0.03238866396761131,21,147,29,50
has_special_requests,0.783,250,0.756,0.716,0.056,0.03278688524590164,0.06349206349206349,0.040000000000000036,2,177,12,59
lead_under_30,0.818,248,0.7580645161290323,0.7701612903225806,0.17338709677419356,0.38333333333333336,0.10638297872340426,-0.012096774193548376,23,168,20,37
lead_under_30_special,0.866,246,0.8048780487804879,0.8170731707317073,0.06910569105691057,0.20833333333333334,0.03535353535353535,-0.012195121951219412,10,191,7,38
lead_under_7,0.906,247,0.728744939271255,0.757085020242915,0.32793522267206476,0.6567164179104478,0.20555555555555555,-0.028340080971659964,44,143,37,23
repeated_special,0.95,250,0.976,0.96,0.016,0.0,0.01639344262295082,0.016000000000000014,0,240,4,6
