condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
has_special_requests,250,0.756,0.364,0.808,0.8524590163934426,0.7936507936507936,52,39,150,9
lead_30_90,250,0.608,0.4,0.88,0.8571428571428571,0.8947368421052632,84,16,136,14
lead_90_180,250,0.536,0.472,0.944,0.9482758620689655,0.9402985074626866,110,8,126,6
lead_under_30,250,0.724,0.364,0.784,0.7681159420289855,0.7900552486187845,53,38,143,16
lead_under_30_special,250,0.78,0.608,0.452,0.6363636363636364,0.4,35,117,78,20
lead_under_7,250,0.876,0.4,0.668,0.7741935483870968,0.6529680365296804,24,76,143,7
no_deposit,250,0.736,0.336,0.88,0.9090909090909091,0.8695652173913043,60,24,160,6
no_prev_cancel,250,0.632,0.412,0.94,0.9782608695652174,0.9177215189873418,90,13,145,2
no_special_requests,250,0.516,0.492,0.992,1.0,0.9844961240310077,121,2,127,0
repeated_special,250,0.976,0.624,0.376,0.5,0.3729508196721312,3,153,91,3
