condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.476,0.524,0.992,0.9923664122137404,0.9915966386554622,-0.04800000000000004,130,1,118,1
lead_90_180,0.554,153,0.5424836601307189,0.45098039215686275,0.9934640522875817,0.9857142857142858,1.0,0.09150326797385616,69,0,83,1
lead_30_90,0.622,108,0.5,0.5,1.0,1.0,1.0,0.0,54,0,54,0
no_prev_cancel,0.661,250,0.652,0.364,0.96,0.9655172413793104,0.9570552147239264,0.28800000000000003,84,7,156,3
no_deposit,0.716,250,0.712,0.444,0.564,0.5138888888888888,0.5842696629213483,0.26799999999999996,37,74,104,35
has_special_requests,0.783,250,0.74,0.38,0.688,0.6307692307692307,0.7081081081081081,0.36,41,54,131,24
lead_under_30,0.818,219,0.6757990867579908,0.6164383561643836,0.6164383561643836,0.8591549295774648,0.5,0.05936073059360725,61,74,74,10
lead_under_30_special,0.866,250,0.872,0.852,0.02,0.0,0.022935779816513763,0.020000000000000018,0,213,5,32
lead_under_7,0.906,121,0.4628099173553719,0.5371900826446281,1.0,1.0,1.0,-0.07438016528925617,65,0,56,0
repeated_special,0.95,250,0.932,0.92,0.028,0.11764705882352941,0.02145922746781116,0.01200000000000001,2,228,5,15
