condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.516,0.488,0.996,1.0,0.9922480620155039,0.028000000000000025,121,1,128,0
lead_90_180,0.554,250,0.58,0.424,0.98,0.9809523809523809,0.9793103448275862,0.15599999999999997,103,3,142,2
lead_30_90,0.622,250,0.608,0.392,0.984,0.9795918367346939,0.9868421052631579,0.21599999999999997,96,2,150,2
no_prev_cancel,0.661,250,0.632,0.384,0.96,0.967391304347826,0.9556962025316456,0.248,89,7,151,3
no_deposit,0.716,250,0.744,0.3,0.94,0.96875,0.9301075268817204,0.444,62,13,173,2
has_special_requests,0.783,250,0.756,0.292,0.912,0.9180327868852459,0.91005291005291,0.464,56,17,172,5
lead_under_30,0.818,250,0.812,0.328,0.812,0.8723404255319149,0.7980295566502463,0.48400000000000004,41,41,162,6
lead_under_30_special,0.866,250,0.832,0.324,0.828,0.9523809523809523,0.8028846153846154,0.508,40,41,167,2
lead_under_7,0.906,250,0.916,0.5,0.512,0.5714285714285714,0.5065502183406113,0.41600000000000004,12,113,116,9
repeated_special,0.95,250,0.976,0.86,0.124,0.16666666666666666,0.12295081967213115,0.11599999999999999,1,214,30,5
