condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
repeated_special,0,250,0.884,0.892,0.096,0,0,0,13,210,11,16
lead_under_30_special,0,250,0.796,0.84,0.18,0,0,0,28,182,17,23
lead_under_30,0,250,0.768,0.8,0.112,0,0,0,18,182,10,40
no_special_requests,0,250,0.48,0.492,0.02,0,0,0,4,119,1,126
lead_under_7,0,250,0.82,0.864,0.084,0,0,0,16,200,5,29
no_deposit,0,250,0.692,0.716,0.072,0,0,0,12,167,6,65
lead_90_180,0,250,0.504,0.528,0.056,0,0,0,10,122,4,114
lead_30_90,0,250,0.528,0.56,0.104,0,0,0,17,123,9,101
no_prev_cancel,0,250,0.616,0.656,0.088,0,0,0,16,148,6,80
has_special_requests,0,250,0.688,0.724,0.172,0,0,0,26,155,17,52
