condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
fico_over_750_dti_under_20,0,250,0.62,0.564,0.768,0.9368421052631579,0.6645161290322581,0.05600000000000005,89,52,103,6
fico_over_750_loan_under_20000,0,250,0.944,0.452,0.572,0.7142857142857143,0.5635593220338984,0.49199999999999994,10,103,133,4
fico_over_700,0,250,0.892,0.22,0.872,0.9259259259259259,0.8654708520179372,0.672,25,30,193,2
loan_under_5000,0,250,0.508,0.496,0.996,1.0,0.9921259842519685,0.01200000000000001,123,1,126,0
fico_650_700_dti_under_20,0,250,0.848,0.4,0.728,0.9210526315789473,0.6933962264150944,0.44799999999999995,35,65,147,3
loan_over_25000,0,250,0.716,0.284,1.0,1.0,1.0,0.432,71,0,179,0
dti_over_25,0,250,0.72,0.276,0.996,0.9857142857142858,1.0,0.44399999999999995,69,0,180,1
fico_650_680,0,250,0.82,0.22,0.96,1.0,0.9512195121951219,0.6,45,10,195,0
dti_over_30,0,250,0.664,0.332,0.996,0.9880952380952381,1.0,0.332,83,0,166,1
dti_under_10,0,250,0.644,0.376,0.972,0.9887640449438202,0.9627329192546584,0.268,88,6,155,1
