condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,245,0.5918367346938775,0.40816326530612246,1.0,1.0,1.0,0.18367346938775508,100,0,145,0
fit_vs_fat,0.54,232,0.5689655172413793,0.4525862068965517,0.9698275862068966,0.99,0.9545454545454546,0.11637931034482762,99,6,126,1
high_vs_low_status,0.57,193,0.5440414507772021,0.46113989637305697,0.9533678756476683,0.9545454545454546,0.9523809523809523,0.08290155440414515,84,5,100,4
legal_crossing,0.64,229,0.7467248908296943,0.2925764192139738,0.9432314410480349,0.9655172413793104,0.935672514619883,0.4541484716157205,56,11,160,2
one_more_person,0.67,204,0.5882352941176471,0.4411764705882353,0.9705882352941176,1.0,0.95,0.1470588235294118,84,6,114,0
young_vs_old,0.74,250,0.708,0.316,0.944,0.9452054794520548,0.943502824858757,0.39199999999999996,69,10,167,4
humans_vs_pets,0.79,243,0.7736625514403292,0.25102880658436216,0.9176954732510288,0.8727272727272727,0.9308510638297872,0.522633744855967,48,13,175,7
four_plus_more,0.84,244,0.5819672131147541,0.5204918032786885,0.8237704918032787,0.9117647058823529,0.7605633802816901,0.061475409836065587,93,34,108,9
legal_and_more,0.87,250,0.812,0.336,0.828,0.9361702127659575,0.8029556650246306,0.47600000000000003,44,40,163,3
legal_3plus_more,0.91,247,0.7692307692307693,0.3967611336032389,0.8259109311740891,0.9824561403508771,0.7789473684210526,0.3724696356275304,56,42,148,1
