condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,250,0.548,0.456,0.98,0.9823008849557522,0.9781021897810219,0.09200000000000003,111,3,134,2
fit_vs_fat,0.54,250,0.564,0.428,0.984,0.9724770642201835,0.9929078014184397,0.13599999999999995,106,1,140,3
high_vs_low_status,0.57,250,0.532,0.468,0.96,0.9572649572649573,0.9624060150375939,0.064,112,5,128,5
legal_crossing,0.64,250,0.652,0.352,0.988,0.9885057471264368,0.9877300613496932,0.30000000000000004,86,2,161,1
one_more_person,0.67,250,0.636,0.352,0.964,0.9340659340659341,0.9811320754716981,0.28400000000000003,85,3,156,6
young_vs_old,0.74,250,0.684,0.332,0.984,1.0,0.9766081871345029,0.35200000000000004,79,4,167,0
humans_vs_pets,0.79,250,0.828,0.184,0.988,1.0,0.9855072463768116,0.6439999999999999,43,3,204,0
four_plus_more,0.84,250,0.82,0.188,0.992,1.0,0.9902439024390244,0.6319999999999999,45,2,203,0
legal_and_more,0.87,250,0.872,0.14,0.988,1.0,0.9862385321100917,0.732,32,3,215,0
legal_3plus_more,0.91,250,0.888,0.116,0.996,1.0,0.9954954954954955,0.772,28,1,221,0
