condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,250,0.572,0.456,0.94,0.9626168224299065,0.9230769230769231,0.11599999999999994,103,11,132,4
fit_vs_fat,0.54,250,0.62,0.384,0.932,0.9157894736842105,0.9419354838709677,0.236,87,9,146,8
high_vs_low_status,0.57,246,0.556910569105691,0.45934959349593496,0.926829268292683,0.9357798165137615,0.9197080291970803,0.09756097560975607,102,11,126,7
legal_crossing,0.64,250,0.736,0.328,0.88,0.8939393939393939,0.875,0.408,59,23,161,7
one_more_person,0.67,250,0.636,0.448,0.86,0.9230769230769231,0.8238993710691824,0.188,84,28,131,7
young_vs_old,0.74,250,0.672,0.356,0.956,0.975609756097561,0.9464285714285714,0.31600000000000006,80,9,159,2
humans_vs_pets,0.79,250,0.72,0.344,0.8,0.7571428571428571,0.8166666666666667,0.376,53,33,147,17
four_plus_more,0.84,250,0.764,0.264,0.948,0.9491525423728814,0.9476439790575916,0.5,56,10,181,3
legal_and_more,0.87,249,0.7670682730923695,0.23694779116465864,0.9558232931726908,0.9137931034482759,0.9685863874345549,0.5301204819277108,53,6,185,5
legal_3plus_more,0.91,250,0.888,0.148,0.932,0.8571428571428571,0.9414414414414415,0.74,24,13,209,4
