condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_005_015,0,250,0.592,0.48,0.528,0,0,0,52,68,80,50
avg_diff_over_200,0,250,0.916,0.692,0.304,0,0,0,10,163,66,11
avg_diff_160_200,0,250,0.9,0.676,0.344,0,0,0,15,154,71,10
avg_diff_030_050,0,250,0.644,0.512,0.524,0,0,0,49,79,82,40
avg_diff_015_030,0,250,0.612,0.524,0.56,0,0,0,59,72,81,38
avg_diff_100_130,0,250,0.828,0.52,0.404,0,0,0,12,118,89,31
avg_diff_under_005,0,250,0.568,0.472,0.616,0,0,0,65,53,89,43
avg_diff_130_160,0,250,0.856,0.68,0.336,0,0,0,20,150,64,16
avg_diff_070_100,0,250,0.796,0.528,0.452,0,0,0,23,109,90,28
avg_diff_050_070,0,250,0.7,0.536,0.476,0,0,0,39,95,80,36
