condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_015_030,0,250,0.612,0.42,0.944,0.9690721649484536,0.9281045751633987,0.192,94,11,142,3
avg_diff_070_100,0,250,0.836,0.284,0.848,0.9024390243902439,0.8373205741626795,0.552,37,34,175,4
avg_diff_100_130,0,250,0.84,0.244,0.852,0.8,0.861904761904762,0.596,32,29,181,8
avg_diff_050_070,0,250,0.708,0.4,0.836,0.9041095890410958,0.807909604519774,0.30799999999999994,66,34,143,7
avg_diff_160_200,0,250,0.932,0.248,0.796,0.8235294117647058,0.7939914163090128,0.684,14,48,185,3
avg_diff_over_200,0,250,0.948,0.228,0.808,0.8461538461538461,0.8059071729957806,0.72,11,46,191,2
avg_diff_130_160,0,250,0.884,0.232,0.844,0.8275862068965517,0.8461538461538461,0.652,24,34,187,5
avg_diff_005_015,0,250,0.596,0.448,0.9,0.9306930693069307,0.8791946308724832,0.14799999999999996,94,18,131,7
avg_diff_030_050,0,250,0.656,0.372,0.868,0.8488372093023255,0.8780487804878049,0.28400000000000003,73,20,144,13
avg_diff_under_005,0,250,0.556,0.424,0.964,0.9369369369369369,0.9856115107913669,0.13200000000000006,104,2,137,7
