condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0.52,249,0.6265060240963856,0.42570281124497994,0.9317269076305221,0.978494623655914,0.9038461538461539,0.20080321285140562,91,15,141,2
contains_vandal,0.61,250,0.724,0.324,0.928,0.9565217391304348,0.9171270718232044,0.39999999999999997,66,15,166,3
contains_stop,0.67,250,0.7,0.392,0.884,0.96,0.8514285714285714,0.30799999999999994,72,26,149,3
contains_love,0.74,250,0.78,0.48,0.684,0.8727272727272727,0.6307692307692307,0.30000000000000004,48,72,123,7
contains_wikipedia,0.85,250,0.848,0.448,0.672,0.8947368421052632,0.6320754716981132,0.39999999999999997,34,78,134,4
contains_page,0.87,250,0.912,0.48,0.6,0.9545454545454546,0.5657894736842105,0.43200000000000005,21,99,129,1
contains_article,0.92,250,0.876,0.5,0.592,0.8709677419354839,0.5525114155251142,0.376,27,98,121,4
contains_please,0.92,250,0.888,0.404,0.684,0.8928571428571429,0.6576576576576577,0.484,25,76,146,3
contains_link,0.94,250,0.88,0.544,0.536,0.8333333333333334,0.4954545454545455,0.33599999999999997,25,111,109,5
contains_thank,0.96,250,0.936,0.6,0.456,0.9375,0.4230769230769231,0.3360000000000001,15,135,99,1
