condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0.52,250,0.708,0.612,0.36,0.4520547945205479,0.3220338983050847,0.09599999999999997,33,120,57,40
contains_vandal,0.61,250,0.74,0.684,0.288,0.4461538461538462,0.23243243243243245,0.05599999999999994,29,142,43,36
contains_stop,0.67,250,0.796,0.788,0.16,0.37254901960784315,0.10552763819095477,0.008000000000000007,19,178,21,32
contains_love,0.74,250,0.86,0.848,0.14,0.45714285714285713,0.08837209302325581,0.01200000000000001,16,196,19,19
contains_wikipedia,0.85,250,0.884,0.876,0.112,0.4482758620689655,0.06787330316742081,0.008000000000000007,13,206,15,16
contains_page,0.87,250,0.916,0.912,0.06,0.3333333333333333,0.034934497816593885,0.0040000000000000036,7,221,8,14
contains_article,0.92,250,0.888,0.892,0.084,0.39285714285714285,0.04504504504504504,-0.0040000000000000036,11,212,10,17
contains_please,0.92,250,0.924,0.936,0.06,0.47368421052631576,0.025974025974025976,-0.01200000000000001,9,225,6,10
contains_link,0.94,250,0.936,0.908,0.044,0.125,0.038461538461538464,0.028000000000000025,2,225,9,14
contains_thank,0.96,250,0.956,0.96,0.028,0.36363636363636365,0.012552301255230125,-0.0040000000000000036,4,236,3,7
