condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0.52,250,0.696,0.436,0.852,0.9736842105263158,0.7988505747126436,0.25999999999999995,74,35,139,2
contains_vandal,0.61,250,0.752,0.44,0.768,0.9193548387096774,0.7180851063829787,0.312,57,53,135,5
contains_stop,0.67,250,0.78,0.344,0.868,0.9818181818181818,0.8358974358974359,0.43600000000000005,54,32,163,1
contains_love,0.74,250,0.836,0.472,0.676,0.9512195121951219,0.6220095693779905,0.364,39,79,130,2
contains_wikipedia,0.85,250,0.916,0.656,0.42,0.9523809523809523,0.37117903930131,0.26,20,144,85,1
contains_page,0.87,250,0.92,0.6,0.464,0.9,0.4260869565217391,0.32000000000000006,18,132,98,2
contains_article,0.92,250,0.896,0.7,0.396,0.9615384615384616,0.33035714285714285,0.19600000000000006,25,150,74,1
contains_please,0.92,250,0.936,0.728,0.336,1.0,0.2905982905982906,0.20800000000000007,16,166,68,0
contains_link,0.94,250,0.936,0.676,0.372,0.875,0.33760683760683763,0.26,14,155,79,2
contains_thank,0.96,250,0.972,0.8,0.212,0.7142857142857143,0.19753086419753085,0.17199999999999993,5,195,48,2
