condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_thank,0,250,0.948,0.58,0.424,0.5384615384615384,0.4177215189873418,0.368,7,138,99,6
contains_wikipedia,0,250,0.856,0.52,0.568,0.8055555555555556,0.5280373831775701,0.33599999999999997,29,101,113,7
contains_please,0,250,0.916,0.632,0.436,0.9047619047619048,0.3930131004366812,0.28400000000000003,19,139,90,2
contains_love,0,250,0.74,0.516,0.672,0.8615384615384616,0.6054054054054054,0.22399999999999998,56,73,112,9
contains_page,0,250,0.868,0.496,0.588,0.8181818181818182,0.5529953917050692,0.372,27,97,120,6
contains_stop,0,250,0.756,0.464,0.676,0.7868852459016393,0.6402116402116402,0.292,48,68,121,13
contains_article,0,250,0.884,0.444,0.608,0.7241379310344828,0.5927601809954751,0.44,21,90,131,8
contains_vandal,0,250,0.6,0.504,0.784,0.86,0.7333333333333333,0.09599999999999997,86,40,110,14
contains_link,0,250,0.92,0.528,0.544,0.95,0.508695652173913,0.392,19,113,117,1
contains_troll,0,250,0.612,0.464,0.788,0.8247422680412371,0.7647058823529411,0.14799999999999996,80,36,117,17
