condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,249,0.5301204819277109,0.5180722891566265,0.7670682730923695,0.8034188034188035,0.7348484848484849,0.012048192771084376,94,35,97,23
lead_90_180,0.554,247,0.5384615384615384,0.4898785425101215,0.6882591093117408,0.6929824561403509,0.6842105263157895,0.04858299595141696,79,42,91,35
lead_30_90,0.622,245,0.5959183673469388,0.46530612244897956,0.7918367346938775,0.8181818181818182,0.773972602739726,0.13061224489795925,81,33,113,18
no_prev_cancel,0.661,249,0.6305220883534136,0.39759036144578314,0.8835341365461847,0.8804347826086957,0.8853503184713376,0.23293172690763048,81,18,139,11
no_deposit,0.716,243,0.7325102880658436,0.32098765432098764,0.8641975308641975,0.8461538461538461,0.8707865168539326,0.411522633744856,55,23,155,10
has_special_requests,0.783,249,0.7550200803212851,0.28112449799196787,0.8995983935742972,0.8688524590163934,0.9095744680851063,0.4738955823293172,53,17,171,8
lead_under_30,0.818,248,0.7782258064516129,0.23387096774193547,0.875,0.7454545454545455,0.9119170984455959,0.5443548387096774,41,17,176,14
lead_under_30_special,0.866,248,0.8145161290322581,0.1774193548387097,0.9354838709677419,0.8043478260869565,0.9653465346534653,0.6370967741935485,37,7,195,9
lead_under_7,0.906,248,0.8709677419354839,0.20967741935483872,0.8387096774193549,0.6875,0.8611111111111112,0.6612903225806451,22,30,186,10
repeated_special,0.95,250,0.976,0.076,0.948,1.0,0.9467213114754098,0.9,6,13,231,0
