condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.54,0.472,0.972,0.9826086956521739,0.9629629629629629,0.06800000000000006,113,5,130,2
lead_90_180,0.554,250,0.552,0.452,0.988,0.9910714285714286,0.9855072463768116,0.10000000000000003,111,2,136,1
lead_30_90,0.622,250,0.604,0.396,0.84,0.797979797979798,0.8675496688741722,0.20799999999999996,79,20,131,20
no_prev_cancel,0.661,250,0.636,0.476,0.616,0.6263736263736264,0.610062893081761,0.16000000000000003,57,62,97,34
no_deposit,0.716,250,0.748,0.524,0.416,0.38095238095238093,0.42780748663101603,0.22399999999999998,24,107,80,39
has_special_requests,0.783,250,0.756,0.54,0.432,0.4426229508196721,0.42857142857142855,0.21599999999999997,27,108,81,34
lead_under_30,0.818,250,0.812,0.592,0.388,0.44680851063829785,0.37438423645320196,0.22000000000000008,21,127,76,26
lead_under_30_special,0.866,250,0.832,0.748,0.132,0.14285714285714285,0.12980769230769232,0.08399999999999996,6,181,27,36
lead_under_7,0.906,249,0.9196787148594378,0.7630522088353414,0.20481927710843373,0.3,0.1965065502183406,0.15662650602409633,6,184,45,14
repeated_special,0.95,250,0.976,0.956,0.02,0.0,0.020491803278688523,0.020000000000000018,0,239,5,6
