condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.544,0.456,1.0,1.0,1.0,0.08800000000000002,114,0,136,0
lead_90_180,0.554,250,0.552,0.44,0.984,0.9732142857142857,0.9927536231884058,0.11200000000000004,109,1,137,3
lead_30_90,0.622,250,0.604,0.392,0.988,0.9797979797979798,0.9933774834437086,0.21199999999999997,97,1,150,2
no_prev_cancel,0.661,250,0.632,0.368,1.0,1.0,1.0,0.264,92,0,158,0
no_deposit,0.716,250,0.744,0.256,1.0,1.0,1.0,0.488,64,0,186,0
has_special_requests,0.783,250,0.756,0.244,1.0,1.0,1.0,0.512,61,0,189,0
lead_under_30,0.818,250,0.812,0.188,1.0,1.0,1.0,0.6240000000000001,47,0,203,0
lead_under_30_special,0.866,250,0.832,0.168,1.0,1.0,1.0,0.6639999999999999,42,0,208,0
lead_under_7,0.906,250,0.916,0.084,1.0,1.0,1.0,0.8320000000000001,21,0,229,0
repeated_special,0.95,250,0.976,0.024,1.0,1.0,1.0,0.952,6,0,244,0
